name,address,city,phone,type
bone's, 3130 piedmont road ,atlanta,4042372663,american
buckhead diner, 3073 piedmont road ,atlanta,4042623336,american
delectables, 1 margaret mitchell sq. ,atlanta,4046812909,american
georgia grille, 2290 peachtree rd. . peachtree square shopping center ,atlanta,4043523517,american
heera of india, 595 piedmont ave. rio shopping mall ,atlanta,4048764408,asian
la grotta, 2637 peachtree rd. . peachtree house condominium ,atlanta,4042311368,italian
mary mac's tea room, 224 ponce de leon ave. ,atlanta,4048761800,southern
veni vidi vici,41 14th st. ,atlanta,4048758424,italian
boulevard, 1 mission st. ,san francisco,4155436084,american
campton place, 340 stockton st. ,san francisco,4159555555,american
hawthorne lane,22 hawthorne st. ,san francisco,4157779779,american
khan toke thai house, 5937 geary blvd. ,san francisco,4156686654,asian
mifune japan center kintetsu building, 1737 post st. ,san francisco,4159220337,asian
postrio, 545 post st. ,san francisco,4157767825,american
ritz-carlton restaurant and dining room, 600 stockton st. ,san francisco,4152967465,american
rose pistola, 532 columbus ave. ,san francisco,4153990499,italian
il nido, 251 e. 53rd st. ,new york,2127538450,italian
remi, 145 w. 53rd st. ,new york,2125814242,italian
adriano's ristorante, 2930 beverly glen circle ,los angeles,3104759807,italian
barney greengrass, 9570 wilshire blvd. ,beverly hills,3107775877,american
border grill, 4th st. ,los angeles,3104511655,mexican
broadway deli, 3rd st. promenade ,santa monica,3104510616,american
ca   brea, 346 s. la brea ave. ,los angeles,2139382863,italian
ca   del sol, 4100 cahuenga blvd. ,los angeles,8189854669,italian
canter's, 419 n. fairfax ave. ,los angeles,2136512030,american
chan dara, 310 n. larchmont blvd. ,los angeles,2134671052,asian
drago, 2628 wilshire blvd. ,santa monica,3108281585,italian
ed debevic's, 134 n. la cienega ,los angeles,3106591952,american
el cholo, 1121 s. western ave. ,los angeles,2137342773,mexican
gilliland's, 2424 main st. ,santa monica,3103923901,american
gladstone's, 4 fish 17300 pacific coast hwy . at sunset blvd. ,pacific palisades,3104543474,american
hard rock cafe, 8600 beverly blvd. ,los angeles,3102767605,american
harry's bar & american grill, 2020 ave. of the stars ,los angeles,3102772333,italian
il fornaio cucina italiana, 301 n. beverly dr. ,los angeles,3105508330,italian
joss, 9255 sunset blvd. ,los angeles,3102761886,asian
le colonial, 8783 beverly blvd. ,los angeles,3102890660,asian
louise's trattoria, 4500 los feliz blvd. ,los angeles,2136670777,italian
mon kee seafood restaurant, 679 n. spring st. ,los angeles,2136286717,asian
morton's, 8764 melrose ave. ,los angeles,3102765205,american
nate   n   al's, 414 n. beverly dr. ,los angeles,3102740101,american
nicola, 601 s. figueroa st. ,los angeles,2134850927,american
ocean avenue, 1401 ocean ave. ,santa monica,3103945669,american
orleans, 11705 national blvd. ,los angeles,3104794187,cajun
pacific dining car, 6th st. ,los angeles,2134836000,american
paty's, 10001 riverside dr. ,toluca lake,8187619126,american
posto, 14928 ventura blvd. ,sherman oaks,8187844400,italian
prego, 362 n. camden dr. ,los angeles,3102777346,italian
rj's the rib joint, 252 n. beverly dr. ,los angeles,3102747427,american
remi, 3rd st. promenade ,santa monica,3103936545,italian
restaurant horikawa, 111 s. san pedro st. ,los angeles,2136809355,asian
roscoe's house of chicken   n   waffles, 1514 n. gower st. ,los angeles,2134669329,american
swingers, 8020 beverly blvd. ,los angeles,2136535858,american
tavola calda, 7371 melrose ave. ,los angeles,2136586340,italian
the mandarin, 430 n. camden dr. ,los angeles,3108590926,asian
tommy tang's, 7313 melrose ave. ,los angeles,2139375733,asian
tra di noi, 3835 cross creek rd. ,los angeles,3104560169,italian
trader vic's, 9876 wilshire blvd. ,los angeles,3102766345,asian
vida, 1930 north hillhurst ave. ,los feliz,2136604446,american
west beach cafe,60 n. venice blvd. ,los angeles,3108235396,american
20 mott,20 mott st. between bowery and pell st. ,new york,2129640380,asian
9 jones street, 9 jones st. ,new york,2129891220,american
aja, 937 broadway at 22nd st. ,new york,2124738388,american
alamo, 304 e. 48th st. ,new york,2127590590,mexican
alley's end, 311 w. 17th st. ,new york,2126278899,american
ambassador grill, 1 united nations plaza at 44th st. ,new york,2127025014,american
american place, 2 park ave. at 32nd st. ,new york,2126842122,american
anche vivolo, 222 e. 58th st. between 2nd and 3rd aves . ,new york,2123080112,italian
arizona, 206 206 e. 60th st. ,new york,2128380440,american
arturo's, 106 w. houston st. off thompson st. ,new york,2126773820,italian
au mandarin, 200-250 vesey st. world financial center ,new york,2123850313,asian
barbetta, 321 w. 46th st. ,new york,2122469171,italian
ben benson's, 123 w. 52nd st. ,new york,2125818888,american
big cup, 228 8th ave. between 21st and 22nd sts . ,new york,2122060059,coffeebar
billy's, 948 1st ave. between 52nd and 53rd sts . ,new york,2127531870,american
boonthai, 1393a 2nd ave. between 72nd and 73rd sts . ,new york,2122498484,asian
brothers bar-b-q, 225 varick st. at clarkston st. ,new york,2127272775,american
bruno, 240 e. 58th st. ,new york,2126884190,italian
bryant park grill roof restaurant and bp cafe,25 w. 40th st. between 5th and 6th aves . ,new york,2128406500,american
c3, 103 waverly pl . near washington sq. ,new york,2122541200,american
cafe bianco, 1486 2nd ave. between 77th and 78th sts . ,new york,2129882655,coffeebar
cafe la fortuna,69 w. 71st st. ,new york,2127245846,coffeebar
caffe dante,81 macdougal st. between houston and bleeker sts . ,new york,2129825275,coffeebar
caffe dell   artista,46 greenwich ave. ,new york,2126454431,coffeebar
caffe reggio, 119 macdougal st. between 3rd and bleecker sts . ,new york,2124759557,coffeebar
caffe roma, 385 broome st. at mulberry ,new york,2122268413,coffeebar
caffe vivaldi,32 jones st. at bleecker st. ,new york,2126917538,coffeebar
caffe bondi ristorante, 7 w. 20th st. ,new york,2126918136,italian
cendrillon asian grill & marimba bar,45 mercer st. between broome and grand sts . ,new york,2123439012,asian
chiam, 160 e. 48th st. ,new york,2123712323,asian
china grill,60 w. 53rd st. ,new york,2123337788,american
coco pazzo,23 e. 74th st. ,new york,2127940205,italian
columbus bakery, 53rd sts . ,new york,2124210334,coffeebar
corrado cafe, 1013 3rd ave. between 60th and 61st sts . ,new york,2127535100,coffeebar
cupcake cafe, 522 9th ave. at 39th st. ,new york,2124651530,coffeebar
da nico, 164 mulberry st. between grand and broome sts . ,new york,2123431212,italian
dean & deluca, 121 prince st. ,new york,2122548776,coffeebar
diva, 341 w. broadway near grand st. ,new york,2129419024,italian
duane park cafe, 157 duane st. between w. broadway and hudson st. ,new york,2127325555,american
el teddy's, 219 w. broadway between franklin and white sts . ,new york,2129417070,mexican
em ily's, 1325 5th ave. at 111th st. ,new york,2129961212,american
em pire korea, 6 e. 32nd st. ,new york,2127251333,asian
ernie's, 2150 broadway between 75th and 76th sts . ,new york,2124961588,american
evergreen cafe, 1288 1st ave. at 69th st. ,new york,2127443266,asian
f. ille ponte ristorante,39 desbrosses st. near west st. ,new york,2122264621,italian
fifty seven fifty seven,57 e. 57th st. ,new york,2127585757,american
film center cafe, 635 9th ave. between 44th and 45th sts . ,new york,2122622525,american
fiorello's roman cafe, 1900 broadway between 63rd and 64th sts . ,new york,2125955330,italian
firehouse, 522 columbus ave. between 85th and 86th sts . ,new york,2125953139,american
first,87 1st ave. between 5th and 6th sts . ,new york,2126743823,american
fleur de jour, 348 e. 62nd st. ,new york,2123552020,coffeebar
flowers,21 west 17th st. between 5th and 6th aves . ,new york,2126918888,american
follonico, 6 w. 24th st. ,new york,2126916359,italian
fraunces tavern,54 pearl st. at broad st. ,new york,2122690144,american
french roast cafe, 2340 broadway at 85th st. ,new york,2127991533,coffeebar
frico bar, 402 w. 43rd st. off 9th ave. ,new york,2125647272,italian
fujiyama mama, 467 columbus ave. between 82nd and 83rd sts . ,new york,2127691144,asian
gabriela's, 685 amsterdam ave. at 93rd st. ,new york,2129610574,mexican
gallagher's, 228 w. 52nd st. ,new york,2122455336,american
girafe, 208 e. 58th st. between 2nd and 3rd aves . ,new york,2127523054,italian
global,33 93 2nd ave. between 5th and 6th sts . ,new york,2124778427,american
golden unicorn,18 e. broadway at catherine st. ,new york,2129410911,asian
grand ticino, 228 thompson st. between w. 3rd and bleecker sts . ,new york,2127775922,italian
halcyon, 151 w. 54th st. in the rihga royal hotel ,new york,2124688888,american
hard rock cafe, 221 w. 57th st. ,new york,2124896565,american
hi-life restaurant and lounge, 1340 1st ave. at 72nd st. ,new york,2122493600,american
home,20 cornelia st. between bleecker and w. 4th st. ,new york,2122439579,american
hudson river club, 4 world financial center ,new york,2127861500,american
i trulli, 122 e. 27th st. between lexington and park aves . ,new york,2124817372,italian
il cortile, 125 mulberry st. between canal and hester sts . ,new york,2122266060,italian
indochine, 430 lafayette st. between 4th st. and astor pl . ,new york,2125055111,asian
internet cafe,82 e. 3rd st. between 1st and 2nd aves . ,new york,2126140747,coffeebar
jewel of india,15 w. 44th st. ,new york,2128695544,asian
jimmy sung's, 219 e. 44th st. between 2nd and 3rd aves . ,new york,2126825678,asian
joe allen, 326 w. 46th st. ,new york,2125816464,american
judson grill, 152 w. 52nd st. ,new york,2125825252,american
lanza restaurant, 168 1st ave. between 10th and 11th sts . ,new york,2126747014,italian
lattanzi ristorante, 361 w. 46th st. ,new york,2123150980,italian
le colonial, 149 e. 57th st. ,new york,2127520808,asian
le gamin,50 macdougal st. between houston and prince sts . ,new york,2122544678,coffeebar
le madri, 168 w. 18th st. ,new york,2127278022,italian
le marais, 150 w. 46th st. ,new york,2128690900,american
le select, 507 columbus ave. between 84th and 85th sts . ,new york,2128751993,american
lincoln tavern,51 w. 64th st. ,new york,2127218271,american
lola,30 west 22nd st. between 5th and 6th ave. ,new york,2126756700,american
main street, 446 columbus ave. between 81st and 82nd sts . ,new york,2128735025,american
mangia e bevi, 800 9th ave. at 53rd st. ,new york,2129563976,italian
manhattan cafe, 1161 1st ave. between 63rd and 64th sts . ,new york,2128886556,american
manila garden, 325 e. 14th st. between 1st and 2nd aves . ,new york,2127776314,asian
marquet patisserie,15 e. 12th st. between 5th ave. and university pl . ,new york,2122299313,coffeebar
match, 160 mercer st. between houston and prince sts . ,new york,2129069173,american
matthew's, 1030 3rd ave. at 61st st. ,new york,2128384343,american
mavalli palace,46 e. 29th st. ,new york,2126795535,asian
milan cafe and coffee bar, 120 w. 23rd st. ,new york,2128071801,coffeebar
monkey bar,60 e. 54th st. ,new york,2128382600,american
montien, 1134 1st ave. between 62nd and 63rd sts . ,new york,2124214433,asian
morton's, 551 5th ave. at 45th st. ,new york,2129723315,american
motown cafe, 104 w. 57th st. near 6th ave. ,new york,2125818030,american
new york kom tang soot bul house,32 w. 32nd st. ,new york,2129478482,asian
new york noodletown,28 1/2 bowery at bayard st. ,new york,2123490923,asian
newsbar, 2 w. 19th st. ,new york,2122553996,coffeebar
odeon, 145 w. broadway at thomas st. ,new york,2122330507,american
orso, 322 w. 46th st. ,new york,2124897212,italian
osteria al droge, 142 w. 44th st. ,new york,2129443643,italian
otabe,68 e. 56th st. ,new york,2122237575,asian
pacifica, 138 lafayette st. between canal and howard sts . ,new york,2129414168,asian
palio, 151 w. 51st . st. ,new york,2122454850,italian
parioli romanissimo,24 e. 81st st. ,new york,2122882391,italian
pen & pencil, 205 e. 45th st. ,new york,2126828660,american
penang soho, 109 spring st. between greene and mercer sts . ,new york,2122748883,asian
planet hollywood, 140 w. 57th st. ,new york,2123337827,american
popover cafe, 551 amsterdam ave. between 86th and 87th sts . ,new york,2125958555,american
post house,28 e. 63rd st. ,new york,2129352888,american
rain, 100 w. 82nd st. ,new york,2125010776,asian
republic, 37a union sq. w between 16th and 17th sts . ,new york,2126277172,asian
rosa mexicano, 1063 1st ave. at 58th st. ,new york,2127537407,mexican
ruth's chris, 148 w. 51st st. ,new york,2122459600,american
s.p.q.r, 133 mulberry st. between hester and grand sts . ,new york,2129253120,italian
sal anthony's,55 irving pl . ,new york,2129829030,italian
san pietro,18 e. 54th st. ,new york,2127539015,italian
sant ambroeus, 1000 madison ave. between 77th and 78th sts . ,new york,2125702211,coffeebar
sarabeth's kitchen, 423 amsterdam ave. between 80th and 81st sts . ,new york,2124966280,american
serendipity, 3 225 e. 60th st. ,new york,2128383531,american
seventh regiment mess and bar, 643 park ave. at 66th st. ,new york,2127444107,american
sfuzzi,58 w. 65th st. ,new york,2128733700,american
shaan,57 w. 48th st. ,new york,2129778400,asian
sofia fabulous pizza, 1022 madison ave. near 79th st. ,new york,2127342676,italian
spring street natural restaurant & bar,62 spring st. at lafayette st. ,new york,2129660290,american
sweet   n   tart cafe,76 mott st. at canal st. ,new york,2123348088,asian
t salon, 143 mercer st. at prince st. ,new york,2129253700,coffeebar
tang pavillion,65 w. 55th st. ,new york,2129566888,asian
tapika, 950 8th ave. at 56th st. ,new york,2123973737,american
the coffee pot, 350 9th ave. at 49th st. ,new york,2122653566,coffeebar
the savannah club, 2420 broadway at 89th st. ,new york,2124961066,american
trattoria dell   arte, 900 7th ave. between 56th and 57th sts . ,new york,2122459800,italian
triangolo, 345 e. 83rd st. ,new york,2124724488,italian
tribeca grill, 375 greenwich st. near franklin st. ,new york,2129413900,american
trois jean, 154 e. 79th st. between lexington and 3rd aves . ,new york,2129884858,coffeebar
tse yang,34 e. 51st st. ,new york,2126885447,asian
two two two, 222 w. 79th st. ,new york,2127990400,american
veniero's pasticceria, 342 e. 11th st. near 1st ave. ,new york,2126747264,coffeebar
verbena,54 irving pl . at 17th st. ,new york,2122605454,american
vince & eddie's,70 w. 68th st. ,new york,2127210068,american
vong, 200 e. 54th st. ,new york,2124869592,american
water club, 500 e. 30th st. ,new york,2126833333,american
west, 63rd street steakhouse 44 w. 63rd st. ,new york,2122466363,american
zoe,90 prince st. between broadway and mercer st. ,new york,2129666722,american
annie's thai castle, 3195 roswell rd. ,atlanta,4042649546,asian
anthonys, 3109 piedmont rd. . just south of peachtree rd. ,atlanta,4042627379,american
atlanta fish market, 265 pharr rd. ,atlanta,4042623165,american
bertolini's, 3500 peachtree rd. . phipps plaza ,atlanta,4042332333,italian
cafe renaissance, 7050 jimmy carter blvd. . norcross ,atlanta,7704410291,american
camille's, 1186 n. highland ave. ,atlanta,4048727203,italian
colonnade restaurant, 1879 cheshire bridge rd. ,atlanta,4048745642,southern
french quarter food shop, 923 peachtree st. at 8th st. ,atlanta,4048752489,southern
horseradish grill, 4320 powers ferry rd. ,atlanta,4042557277,southern
hsu's gourmet, 192 peachtree center ave. at international blvd. ,atlanta,4046592788,asian
kamogawa, 3300 peachtree rd. . grand hyatt ,atlanta,4048410314,asian
la grotta at ravinia dunwoody rd., holiday inn/crowne plaza at ravinia dunwoody ,atlanta,7703959925,italian
little szechuan, c buford hwy . northwoods plaza doraville ,atlanta,7704510192,asian
mckinnon's louisiane, 3209 maple dr. ,atlanta,4042371313,southern
mi spia dunwoody rd., park place across from perimeter mall dunwoody ,atlanta,7703931333,italian
pleasant peasant, 555 peachtree st. at linden ave. ,atlanta,4048743223,american
pricci, 500 pharr rd. ,atlanta,4042372941,italian
r.j.'s uptown kitchen & wine bar, 870 n. highland ave. ,atlanta,4048757775,american
sa tsu ki, 3043 buford hwy . ,atlanta,4043255285,asian
sato sushi and thai, 6050 peachtree pkwy . norcross ,atlanta,7704490033,asian
south city kitchen, 1144 crescent ave. ,atlanta,4048737358,southern
stringer's fish camp and oyster bar, 3384 shallowford rd. . chamblee ,atlanta,7704587145,southern
sundown cafe, 2165 cheshire bridge rd. ,atlanta,4043211118,american
taste of new orleans, 889 w. peachtree st. ,atlanta,4048745535,southern
antonio's, 3700 w. flamingo ,las vegas,7022527737,italian
bamboo garden, 4850 flamingo rd. ,las vegas,7028713262,asian
battista's hole in the wall, 4041 audrie st. at flamingo rd. ,las vegas,7027321424,italian
bertolini's, 3570 las vegas blvd. s ,las vegas,7027354663,italian
broiler, 4111 boulder hwy . ,las vegas,7024327777,american
cafe michelle, 1350 e. flamingo rd. ,las vegas,7027358686,american
capozzoli's, 3333 s. maryland pkwy . ,las vegas,7027315311,italian
center stage plaza hotel, 1 main st. ,las vegas,7023862512,american
em press court, 3570 las vegas blvd. s ,las vegas,7027317888,asian
golden steer, 308 w. sahara ave. ,las vegas,7023844470,steakhouses
lillie langtry's, 129 e. fremont st. ,las vegas,7023857111,asian
mandarin court, 1510 e. flamingo rd. ,las vegas,7027371234,asian
margarita's mexican cantina, 3120 las vegas blvd. s ,las vegas,7027948200,mexican
mikado, 3400 las vegas blvd. s ,las vegas,7027917111,asian
venetian, 3713 w. sahara ave. ,las vegas,7028764190,italian
viva mercado's, 6182 w. flamingo rd. ,las vegas,7028718826,mexican
yolie's, 3900 paradise rd. ,las vegas,7027940700,steakhouses
2223, 2223 market st. ,san francisco,4154310692,american
acquarello, 1722 sacramento st. ,san francisco,4155675432,italian
betelnut, 2030 union st. ,san francisco,4159298855,asian
bix,56 gold st. ,san francisco,4154336300,american
buca giovanni, 800 greenwich st. ,san francisco,4157767766,italian
cafe adriano, 3347 fillmore st. ,san francisco,4154744180,italian
capp's corner, 1600 powell st. ,san francisco,4159892589,italian
carta, 1772 market st. ,san francisco,4158633516,american
cypress club, 500 jackson st. ,san francisco,4152968555,american
fog city diner, 1300 battery st. ,san francisco,4159822000,american
gaylord's, ghirardelli sq. ,san francisco,4157718822,asian
grand cafe hotel monaco, 501 geary st. ,san francisco,4152920101,american
harbor village, 4 embarcadero center ,san francisco,4157818833,asian
harris, 2100 van ness ave. ,san francisco,4156731888,steakhouses
harry denton's, 161 steuart st. ,san francisco,4158821333,american
hong kong flower lounge, 5322 geary blvd. ,san francisco,4156688998,asian
hong kong villa, 2332 clement st. ,san francisco,4157528833,asian
hyde street bistro, 1521 hyde st. ,san francisco,4154417778,italian
il fornaio levi's plaza, 1265 battery st. ,san francisco,4159860100,italian
izzy's steak & chop house, 3345 steiner st. ,san francisco,4155630487,steakhouses
kabuto sushi, 5116 geary blvd. ,san francisco,4157525652,asian
kuleto's, 221 powell st. ,san francisco,4153977720,italian
kyo-ya . sheraton palace hotel, 2 new montgomery st. at market st. ,san francisco,4155465000,asian
l   osteria del forno, 519 columbus ave. ,san francisco,4159821124,italian
le soleil, 133 clement st. ,san francisco,4156684848,asian
macarthur park, 607 front st. ,san francisco,4153985700,american
manora, 3226 mission st. ,san francisco,4158616224,asian
north india, 3131 webster st. ,san francisco,4159311556,asian
one market, 1 market st. ,san francisco,4157775577,american
oritalia, 1915 fillmore st. ,san francisco,4153461333,italian
palio d   asti, 640 sacramento st. ,san francisco,4153959800,italian
pane e vino, 3011 steiner st. ,san francisco,4153462111,italian
perry's, 1944 union st. ,san francisco,4159229022,american
rubicon, 558 sacramento st. ,san francisco,4154344100,american
rumpus, 1 tillman pl . ,san francisco,4154212300,american
sanppo, 1702 post st. ,san francisco,4153463486,asian
scala's bistro, 432 powell st. ,san francisco,4153958555,italian
stars, 150 redwood alley ,san francisco,4158617827,american
stars cafe, 500 van ness ave. ,san francisco,4158614344,american
straits cafe, 3300 geary blvd. ,san francisco,4156681783,asian
thepin, 298 gough st. ,san francisco,4158639335,asian
ton kiang, 3148 geary blvd. ,san francisco,4157524440,asian
vivande porta via, 2125 fillmore st. ,san francisco,4153464430,italian
vivande ristorante, 670 golden gate ave. ,san francisco,4156739245,italian
world wrapps, 2257 chestnut st. ,san francisco,4155639727,american
wu kong, 101 spear st. ,san francisco,4159579300,asian
yank sing, 427 battery st. ,san francisco,4155414949,asian
